"id","invoice_id","invoices_custom_id","name","type","value","_weld_synced"
"c_campaigncode","262","262_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.703Z"
"c_campaigncode","205","205_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.694Z"
"c_campaigncode","255","255_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.711Z"
"c_campaigncode","253","253_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.711Z"
"c_campaigncode","251","251_c_campaigncode","Campaign Ref","text",,"2025-04-17T12:07:50.885Z"
"c_clientponumber","246","246_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.700Z"
"c_clientponumber","276","276_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.707Z"
"c_clientponumber","279","279_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.788Z"
"c_clientponumber","200","200_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.692Z"
"c_clientponumber","208","208_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.695Z"
"c_clientponumber","197","197_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.709Z"
"c_clientponumber","269","269_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.705Z"
"c_clientponumber","203","203_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.693Z"
"c_clientponumber","245","245_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.699Z"
"c_clientponumber","263","263_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.703Z"
"c_clientponumber","237","237_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.710Z"
"c_clientponumber","282","282_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.707Z"
"c_clientponumber","222","222_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.698Z"
"c_clientponumber","274","274_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.706Z"
"c_clientponumber","230","230_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.710Z"
"c_clientponumber","206","206_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.694Z"
"c_clientponumber","211","211_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.696Z"
"c_clientponumber","205","205_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.694Z"
"c_clientponumber","259","259_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.702Z"
"c_clientponumber","270","270_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.705Z"
"c_clientponumber","213","213_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.696Z"
"c_clientponumber","285","285_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.707Z"
"c_clientponumber","210","210_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.696Z"
"c_clientponumber","227","227_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.709Z"
"c_clientponumber","266","266_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.704Z"
"c_clientponumber","271","271_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.706Z"
"c_clientponumber","262","262_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.703Z"
"c_clientponumber","264","264_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.703Z"
"c_clientponumber","284","284_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.790Z"
"c_clientponumber","233","233_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.698Z"
"c_clientponumber","242","242_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.699Z"
"c_clientponumber","243","243_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.699Z"
"c_clientponumber","214","214_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.696Z"
"c_clientponumber","261","261_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.702Z"
"c_clientponumber","278","278_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.787Z"
"c_clientponumber","250","250_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.701Z"
"c_clientponumber","275","275_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.706Z"
"c_clientponumber","268","268_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.705Z"
"c_clientponumber","212","212_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.696Z"
"c_clientponumber","265","265_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.703Z"
"c_clientponumber","260","260_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.702Z"
"c_clientponumber","229","229_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.709Z"
"c_clientponumber","273","273_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.706Z"
"c_clientponumber","277","277_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.707Z"
"c_clientponumber","195","195_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.709Z"
"c_clientponumber","249","249_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.701Z"
"c_clientponumber","234","234_c_clientponumber","Client PO number","text",,"2025-04-17T12:07:50.699Z"
